state,season,week_ending_date,age_category,sex,race,rate,cumulative_rate
Utah,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,14.1
Tennessee,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,8.9
Minnesota,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,19.1
Oregon,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,23.2
Michigan,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,31.4
New York,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,26.5
Georgia,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0.1,7.5
New Mexico,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,56
Colorado,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,37.4
California,2022-23,2023-05-13T00:00:00.000,5-17 years,All,All,0,12
Colorado,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,37.4
California,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,12
Utah,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,14.1
Tennessee,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,8.9
Minnesota,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,19.1
Oregon,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,23.2
Michigan,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,31.4
New York,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,26.5
Georgia,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0.1,7.6
New Mexico,2022-23,2023-05-20T00:00:00.000,5-17 years,All,All,0,56
Utah,2022-23,2023-05-27T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-05-27T00:00:00.000,5-17 years,All,All,0,14.1
Tennessee,2022-23,2023-05-27T00:00:00.000,5-17 years,All,All,0,8.9
